Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
AX,American Express,American Express,ASrr1LuMAjLkb2FXCswII+kUiALro6Br5GhNOYp5BGqUqgaxd3BO6VvW8jQjHtU=,ASrr1LtoNtQ3dbc/mGqBuI1gKB+lv1g62qt5QKbFgEZBPq7im2rrjy0mcFD9dw==,ASrr1LvPfYJzyWi/bBoIsKZ5UWgv68XVRplQkpnS1scp0m+H,09/2008,ASrr1Ls+29zKV0atZ4W8eYeX41oRGDIxfVVOP6ZyvLxrZvH2J5uNpQ==,26,ASrr1LujRGyUnlGmnJoweL79ehGpeHEzw+QktyvruiAqXPVtHg==,ASrr1LvwpnNOTjQFwYXEpxP0ODdqpFHCFijmMrlr1WbbrZZV+Q8=
JC,JCB,Japan Credit Bureau,ASrr1LsEdQ9CuguCUCE3xWbiFzxtp4/yUMBRcYOBq5u2PBmwucFF3A44dEbo0WAdLwt7jw==,ASrr1LvlfgaQyIxOxDDvch2d5AbkRFKd0OqmSrJJffvNjiuhH0MrNdQDBUDI,ASrr1LtRoiwxtzBZOdxXMsvmetubQecGnDrVo/bWJquRMSXZ,11/2000,ASrr1LtO8NA86JEDJkCgRux4z0t3eE68UuiK4IDKmtRLjM4VeHJFUA==,15,ASrr1LsypGQEzbv0Xbrk3gZRwV4hYs8xJP/mA3O+AQg9tynQHQ==,ASrr1Lud9kx9Pc/0UdX7foWflbQH0YxPDjqZRpYcHmpwwJ9Cu/KG
MC,Mastercard,GE Capital,ASrr1LvKOPy1Cf7fQWbJA2Do40gPP4INXGXV50/HwxUbJ3ED5Ma/AJHGwng2/shb3Q==,ASrr1LvxpX1/yRcsH28ENhK5IlYKz0UJcEub0Kx3w8APwjqQEgpT+W+2+DY=,ASrr1LuTLvgQ+fN1EJ9WsLzPdtPYqkrhVIN2j76emwFYRAX0,02/2003,ASrr1LvVK5mk+a0i0nop0np7upfF8oOYuWhjcnTI8NmYYKx4kzmxZw==,3,ASrr1Lv6sgFifGYFjdySpdXMccMUTlLfp3DfR4up33aqbtuHAA==,ASrr1LufpvNFfEovvLJPAQ8p05jJRNNYPplVWXIXXYDda5vWKDI=
DC,Diners Club,Diners Club International,ASrr1Lu+duuUSL4aCE8a7TVk74p9XVpPzl3K3Lk9TiIUkiQCuKimNUwTYNj+FZmUJA==,ASrr1LtG6tAYxWGvXf/zk7kNbHs3kAtQbIvIZAhlOBfE1aB3pIIGCoqgxqxZZ1iB,ASrr1LuqhgeTH2XVCW0RdVbutjUt9VjM1d8IkRzaM/6mJv11,06/2009,ASrr1LtDDQ2ZlE4fuNTTd2ZxH7xXhe6ka0ZvLVoPpTORRXWxHSDJ3g==,20,ASrr1Lsc/uFqxZY8rEPbekhS5scayBksJzUAuwRL7LpM9+N2tg==,ASrr1Lsrl5vjnxD+Gtmh/GTMsGRIkqI0RfXOaLuy8dJEGc5pA+df
MC,Mastercard,Chase,ASrr1Lu1AGQM/jPUY/j1XJTBwdO8lR6y/KRAQ8pc12ST1FVzxqzFmbG3znhxVoEVNA==,ASrr1LvWlAudpKgnVpgZrf+/Y478hNEoYb9IcBeLGsuaMRd8S3YIy5BA+A==,ASrr1Lv7bRNWy+rZmQAMHaBFkD32tHESHzO0x/r95lnA4by1,12/2009,ASrr1LvzYwIdbcHfdJgvnaOUpGneJoY6DsRx/dipgL9ESg+Ei0cy3A==,18,ASrr1LsHMRbT3lBoVRYAAYlsIlArqij06aGdi62EsuUobV6iMw==,ASrr1LsLXG8WzAUiDPZCY/s6+jl5sxmG/yM2U86pDCjFFZJdukh6
MC,Mastercard,Wells Fargo,ASrr1LsrcN0FNuhZv50zcPDEOmsUkd8K1S3jGyWxoR3/NSIqSAp3WhMtK7xwt8gTWA==,ASrr1LtMZuK+PUVyU+AqnsHywVXeMJnL/5H6aIRgXWc5YHfZMm6DmEO4jw==,ASrr1LtmQ56v+rtWw3AfW34L1tnnwBrdSbT+JFSCI/kltVF1,06/2014,ASrr1Lt/8UPlr/mwrEOv3lGKCTkWHaNu+zmEB44P6P0FDB2ddMqMvw==,19,ASrr1LuKZ6Ci/74bUS3G89TR5tv38KvvXndvj9ne23UIlY8yIw==,ASrr1LvjsuMkXppLqoRmVMMi9LO+IoVhFqHDMnDHhwSaDme2Fn52
DS,Discover,Discover,ASrr1Ls94HnUIekXvuv/RshgCsTMB0BldEWgosX5j/SgmyRJnTmFLXBscJQD32b7jWQ=,ASrr1LsihAo64/2inkzIpjmyWl+q1okhaXWP+4zZ4TBkqw20G9pr/c2kJPfrH1oZYhZ3,ASrr1Ls/xrEtu5jv9NCuhJacgJ9EZgLybBB6Gzn0V9d1BB79,10/2003,ASrr1Lsb6uQ75xrrvGvJCyO2pUpvPoozGE6WR9tS3Zt78BVL6yHF2g==,10,ASrr1LsBR8blEH5GrCR/cpYqLgUT9u7T0h0t9Jnk0ynTqFADCA==,ASrr1LvCOv8MQHpujjUsS/GtBu2ZpX2lGU8Eppk9ItqssVOxdXUf
DC,Diners Club,Diners Club International,ASrr1LtDW5OrEqbdGht4T1KOPKFN15Is8LzFTx7MSNKP3u+XcZxCfo0iEfrLvNs5gQ==,ASrr1Lv6bgSaVB2YKCZJpdpe2RMl2RK658bIA3ME0VFwdja6vFOcaEn8cA==,ASrr1LtHRZW/jboBUalmUVGPlmYYaTslrv1pn7Gde4L+iT9K,03/2006,ASrr1Ltq6fHekqsn2E1o4ggoVTQz8FYPgy1tsa/ghmN2fHSiG/5hBQ==,21,ASrr1Lv3IuZW6GmbfMlrpXaqRzJqexJIrZoZpvy7l04MbnKZEQ==,ASrr1Lvb51zaaaTAYSXFxWqAX47sqQtNgtxG/x7QJ491rzavM73L
AX,American Express,American Express,ASrr1LsmLI2QaObLg1q0V5gFX7buRuQiCYh1d45szKmyowIYKsUvuXpxzXGWid4IqA==,ASrr1LsbtvyhDB+uStFnyhD4LinaOK9tD+NgnlMQ2SMHKOwb2Qr2ngnoexDR,ASrr1LvcOPYeXZ9xVhouWdfJI9WnqMnCUiEZAAuGQ4+jfOxW,06/2009,ASrr1Lvg6OqHcu8NN2nRMvjsnNVDdojwdqVaeTSB1Jlh0WsxE1/Iaw==,18,ASrr1Lv53RJfmQC0RgMvgsvAmRSLW9uvFzsWK7xqpeHgYBqXsQ==,ASrr1LvBSMYGBrKETyH7dGjyUnIa18OEDjhDtcIIVmmmjkhGLBVQ
MC,Mastercard,Chase,ASrr1LtLmpCmTh9tAbikkpLWJvxIeKSlnbAwBs3pUzOeMV/hmd/dEHT3bPkcgZ0Gbg==,ASrr1Lvu5aEfIzHwLLLUxecwBlZWum8r0Z4bJgxDfeZmRNNor1z1Jp8CYC1JMhGTMvU=,ASrr1LvzIbrDvkOYYo9Cg0nAmxz3Yb+zNV9RLcfHTXh2Bvce,06/2005,ASrr1Lt1X0xivVqKQ4gkEYfK6LM62PU8VKRiPFT84wDiuTCXZ2/o3g==,16,ASrr1LtTnm25CnAhEpL4ewF+8Y43GPcZvSwKrT7CullQRuujug==,ASrr1LtYybK0EjIoz+gKMQpwJHximUUGhjIErFLL4eTIiHszpYvH
